S,E,I,R,Beta
1248,7,31,8714,0.0
1248,7,30,8715,0.0
1248,6,29,8717,0.0
1248,6,26,8720,0.0
1248,6,23,8723,0.0
1248,6,22,8724,7.284382284382284e-05
1246,7,21,8726,0.0
1246,7,20,8727,0.0
1246,5,21,8728,0.0
1246,5,20,8729,0.0
1246,2,21,8731,0.0
1246,1,21,8732,0.0
1246,1,18,8735,0.0
1246,1,17,8736,0.0
1246,1,15,8738,0.0
1246,1,14,8739,0.0
1246,1,11,8742,7.296074711805048e-05
1245,2,9,8744,8.92458723784025e-05
1244,3,8,8745,0.0001004823151125
1243,4,8,8745,0.0
1243,4,8,8745,0.0
1243,4,7,8746,0.0
1243,4,7,8746,0.0
1243,4,6,8747,0.0
1243,4,6,8747,0.0
1243,4,6,8747,0.0
1243,4,4,8749,0.0
1243,4,3,8750,0.0
1243,4,2,8751,0.0
1243,4,2,8751,0.0
1243,4,2,8751,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0
1243,2,3,8752,0.0002681684097613
1242,3,3,8752,0.0
1242,3,3,8752,0.0
1242,3,3,8752,0.0
1242,3,3,8752,0.0
1242,3,3,8752,0.0
1242,2,4,8752,0.0
1242,2,4,8752,0.0
1242,2,3,8753,0.0
1242,2,3,8753,0.0
1242,2,2,8754,0.0
1242,2,2,8754,0.0
1242,2,2,8754,0.0
1242,2,2,8754,0.0
1242,2,1,8755,0.0
1242,1,2,8755,0.0
1242,1,2,8755,0.0
1242,1,2,8755,0.0
1242,1,2,8755,0.0
1242,1,2,8755,0.0
1242,1,2,8755,0.0
1242,1,1,8756,0.0
1242,1,1,8756,0.0
1242,1,1,8756,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,1,0,8757,0.0
1242,0,1,8757,0.0
1242,0,1,8757,0.0
1242,0,1,8757,0.0
1242,0,1,8757,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
1242,0,0,8758,0.0
