S,E,I,R,Beta
9920,0,80,0,4.410282258064516e-05
9885,35,79,1,4.609976758033845e-05
9849,66,80,5,3.680576708295258e-05
9820,91,75,14,5.023761031907672e-05
9783,118,80,19,5.877542676070735e-05
9737,153,87,23,6.13845280297101e-05
9685,188,99,28,7.19638303530921e-05
9616,236,112,36,6.963840028523889e-05
9541,284,130,45,7.175509743374746e-05
9452,341,155,52,7.576481509289722e-05
9341,423,171,65,6.886573748005241e-05
9231,484,209,76,7.982256583936279e-05
9077,592,235,96,9.094766055895309e-05
8883,729,271,117,7.186495370526147e-05
8710,822,330,138,7.201753470410186e-05
8503,939,398,160,6.264416283463655e-05
8291,1070,439,200,5.247614601995907e-05
8100,1168,493,239,6.060150752510455e-05
7858,1277,584,281,5.1426519348574175e-05
7622,1382,667,329,5.035529991498609e-05
7366,1480,776,378,6.070661803605868e-05
7019,1679,866,436,4.8696592916554114e-05
6723,1784,994,499,4.713690442521259e-05
6408,1902,1108,582,4.408410966436359e-05
6095,2022,1222,661,4.430666117085051e-05
5765,2136,1340,759,4.634244216903341e-05
5407,2273,1446,874,4.438178980630866e-05
5060,2395,1562,983,3.909551451721468e-05
4751,2481,1670,1098,4.1088103733597846e-05
4425,2554,1787,1234,3.692708481531715e-05
4133,2581,1908,1378,3.525340093870423e-05
3855,2601,2001,1543,3.383522246658772e-05
3594,2596,2108,1702,3.511017202400374e-05
3328,2579,2215,1878,3.106550616426463e-05
3099,2558,2293,2050,3.0537543799211007e-05
2882,2521,2368,2229,3.282255190652137e-05
2658,2489,2443,2410,3.0184058074127736e-05
2462,2458,2473,2607,2.8906832294056063e-05
2286,2405,2517,2792,3.128333630525028e-05
2106,2337,2554,3003,3.011866755014758e-05
1944,2265,2585,3206,2.467543838702231e-05
1820,2179,2591,3410,2.6931771431964407e-05
1693,2105,2578,3624,2.6577744255197663e-05
1577,2018,2576,3829,2.732407236005152e-05
1466,1941,2561,4032,2.237359319373987e-05
1382,1802,2567,4249,2.9597524406682383e-05
1277,1728,2520,4475,2.3927608109283916e-05
1200,1620,2484,4696,2.7173913043478265e-05
1119,1556,2405,4920,2.675391415337796e-05
1047,1477,2364,5112,1.737297928009606e-05
1004,1363,2307,5326,2.4177239891755043e-05
948,1286,2261,5505,1.8661695191067767e-05
908,1185,2226,5681,2.325342072661497e-05
861,1128,2152,5859,2.212781023189945e-05
820,1048,2101,6031,1.5671979661253063e-05
793,968,2048,6191,2.709252837326608e-05
749,915,1987,6349,1.948580324848498e-05
720,844,1935,6501,2.512202124605225e-05
685,791,1866,6658,1.6429225244678105e-05
664,737,1786,6813,2.02377258192906e-05
640,675,1728,6957,3.1647858796296295e-05
605,633,1656,7106,1.996247055535593e-05
585,601,1572,7242,1.5223679345816753e-05
571,547,1519,7363,2.421170716747238e-05
550,510,1445,7495,1.7615602390688895e-05
536,474,1396,7594,1.7373733053928067e-05
523,431,1338,7708,1.714839362422725e-05
511,395,1263,7831,1.3944991656246658e-05
502,372,1187,7939,1.1747449964254189e-05
495,338,1135,8032,1.4239309393494416e-05
487,319,1065,8129,1.34964475422005e-05
480,303,1004,8213,1.0375166002656042e-05
475,263,980,8282,2.1482277121374864e-05
465,252,927,8356,1.1599447866281566e-05
460,223,889,8428,2.200811855039859e-05
451,216,825,8508,1.612578109252167e-05
445,201,775,8579,2.029720913374411e-05
438,188,734,8640,1.2441989225237332e-05
434,174,703,8689,1.3110369646872192e-05
430,168,668,8734,2.785127419579446e-05
422,166,630,8782,3.3852403520649966e-05
413,152,608,8827,1.194724098381547e-05
410,135,595,8860,4.099200655872105e-06
409,126,562,8903,4.350512055268905e-06
408,122,516,8954,9.499924000607994e-06
406,114,487,8993,2.0230424535458875e-05
402,109,455,9034,5.467169646274124e-06
401,96,436,9067,5.719645839529616e-06
400,84,429,9087,1.1655011655011657e-05
398,74,405,9123,1.861157640052113e-05
395,71,386,9148,0.0
395,63,357,9185,7.091444172605752e-06
394,57,331,9218,7.667888416887757e-06
393,55,315,9237,8.07787067329052e-06
392,54,289,9265,8.82706023585905e-06
391,48,272,9289,9.402738077328116e-06
390,42,256,9312,3.0048076923076925e-05
387,40,235,9338,1.099565671559734e-05
386,35,228,9351,0.0
386,31,210,9373,1.233654083395016e-05
385,32,191,9392,0.0
385,28,178,9409,4.3776448270830295e-05
382,29,167,9422,1.5675455371978557e-05
381,28,150,9441,1.7497812773403324e-05
380,26,144,9450,1.827485380116959e-05
379,27,133,9461,3.967702898406968e-05
377,28,122,9473,0.0
377,26,112,9485,2.3683213338385752e-05
376,26,108,9490,0.0
376,25,100,9499,0.0
376,24,93,9507,0.0
376,22,89,9513,2.9882859191967487e-05
375,21,85,9519,0.0
375,19,82,9524,0.0
375,19,76,9530,3.508771929824561e-05
374,19,67,9540,0.0
374,18,60,9548,4.45632798573975e-05
373,17,61,9549,0.0
373,16,58,9553,0.0
373,15,53,9559,0.0
373,14,52,9561,0.0
373,13,50,9564,0.0
373,11,47,9569,0.0
373,10,47,9570,0.0
373,9,46,9572,0.0
373,9,42,9576,0.0
373,9,40,9578,0.0
373,9,37,9581,0.0
373,6,38,9583,0.0
373,3,37,9587,0.0
373,3,34,9590,0.0
373,3,32,9592,0.0
373,3,31,9593,0.0
373,3,31,9593,0.0
373,3,28,9596,0.0
373,2,25,9600,0.0
373,2,24,9601,0.0
373,2,21,9604,0.0
373,2,20,9605,0.0
373,2,20,9605,0.0
373,1,16,9610,0.0
373,1,14,9612,0.0
373,1,12,9614,0.0
373,1,11,9615,0.0
373,1,8,9618,0.0
373,1,7,9619,0.0
373,0,8,9619,0.0
373,0,7,9620,0.0
373,0,7,9620,0.0
373,0,6,9621,0.0
373,0,6,9621,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,5,9622,0.0
373,0,4,9623,0.0
373,0,4,9623,0.0
373,0,3,9624,0.0
373,0,3,9624,0.0
373,0,2,9625,0.0
373,0,1,9626,0.0
373,0,1,9626,0.0
373,0,1,9626,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
373,0,0,9627,0.0
