S,E,I,R,Beta
9920,0,80,0,3.150201612903226e-05
9895,25,76,4,2.2605781761123374e-05
9878,41,70,11,2.8924305093570128e-05
9858,59,68,15,3.132719916938169e-05
9837,74,69,20,3.535895973940447e-05
9813,95,66,26,2.9336470791683265e-05
9794,105,71,30,4.458032655808241e-05
9763,125,78,34,2.888981686482455e-05
9741,133,82,44,3.5054246446375765e-05
9713,148,88,51,3.158840541729453e-05
9686,156,100,58,3.613462729712988e-05
9651,180,95,74,4.035578532903599e-05
9614,204,104,78,4.40063369125154e-05
9570,228,115,87,2.9985007496251875e-05
9537,240,120,103,4.543706965852295e-05
9485,267,137,111,3.386060972184279e-05
9441,281,154,124,3.301433234703015e-05
9393,292,182,133,3.568240553229375e-05
9332,330,188,150,3.704936571485896e-05
9267,370,191,172,3.276841712161094e-05
9209,398,205,188,3.178227026053516e-05
9149,413,232,206,3.392117472797103e-05
9077,443,256,224,3.399732841247108e-05
8998,465,292,245,3.273177905592415e-05
8912,505,304,279,2.583742795048663e-05
8842,521,334,303,3.0136515026946784e-05
8753,544,377,326,2.5758504624863746e-05
8668,569,407,356,2.636147075464104e-05
8575,592,428,405,2.942699109016103e-05
8467,644,443,446,2.9859651639174905e-05
8355,696,471,478,2.6682218588358168e-05
8250,725,510,515,2.4480095068330364e-05
8147,746,542,565,2.377892933219255e-05
8042,771,582,605,2.22201141601096e-05
7938,801,617,644,2.429689085550782e-05
7819,846,638,697,2.26519999310417e-05
7706,891,662,741,2.1954878021050024e-05
7594,911,704,791,2.094955347523164e-05
7482,926,738,854,2.3362302588543127e-05
7353,965,763,919,1.925017365260816e-05
7245,969,824,962,1.859333855956904e-05
7134,986,851,1029,1.7130525047298367e-05
7030,989,880,1101,1.9720677615414457e-05
6908,991,918,1183,2.3495855268054594e-05
6759,1050,938,1253,2.1135840043962543e-05
6625,1065,977,1333,1.962109654120237e-05
6498,1095,1005,1402,1.806908823074532e-05
6380,1089,1037,1494,1.9800304108487528e-05
6249,1108,1052,1591,1.551579051127268e-05
6147,1098,1075,1680,1.6192432686014354e-05
6040,1083,1103,1774,1.6060953570334967e-05
5933,1080,1117,1870,1.931445456055768e-05
5805,1089,1162,1944,1.4676646786481474e-05
5706,1083,1182,2029,1.3492491354426692e-05
5615,1070,1181,2134,1.4175167368764715e-05
5521,1056,1174,2249,1.635385042151278e-05
5415,1069,1180,2336,1.4867677668748142e-05
5320,1064,1173,2443,1.3621009044350003e-05
5235,1040,1180,2545,1.2626875819532806e-05
5157,995,1204,2644,1.3528687582017667e-05
5073,984,1204,2739,1.4898757214436666e-05
4982,951,1213,2854,1.4065474951374826e-05
4897,925,1229,2949,1.6781832685792748e-05
4796,925,1224,3055,1.4820356833308804e-05
4709,915,1238,3138,1.492347345731595e-05
4622,903,1254,3221,1.4492783628951613e-05
4538,902,1246,3314,1.5209534326504134e-05
4452,894,1239,3415,1.1602551691180685e-05
4388,866,1218,3528,1.291026579430691e-05
4319,836,1223,3622,1.4198798705902554e-05
4244,821,1227,3708,1.1522091305660345e-05
4184,788,1233,3795,1.2793494391797276e-05
4118,786,1223,3873,1.250914855586844e-05
4055,765,1199,3981,1.2135061174077453e-05
3996,751,1155,4098,1.08333441666775e-05
3946,731,1144,4179,8.860880629760508e-06
3906,700,1131,4263,1.2676319684106114e-05
3850,675,1123,4352,1.0639405118479029e-05
3804,657,1095,4444,1.0083113665499906e-05
3762,632,1074,4532,9.405037337998232e-06
3724,593,1057,4626,1.1940243906156796e-05
3677,570,1031,4722,1.2661610287769386e-05
3629,561,1009,4801,1.2016404577048503e-05
3585,550,976,4889,1.0860369938496013e-05
3547,523,975,4955,1.0987978284285022e-05
3509,498,966,5027,1.0325415804494448e-05
3474,486,939,5101,1.072933086374792e-05
3439,475,916,5170,1.1428121559659238e-05
3403,462,881,5254,1.0673629430932111e-05
3371,449,847,5333,6.65443884343051e-06
3352,422,818,5408,1.4588232548097405e-05
3312,418,791,5479,1.1451290789497791e-05
3282,397,775,5546,1.2973993041221914e-05
3249,390,756,5605,8.54963920522554e-06
3228,371,734,5667,9.285239170878787e-06
3206,360,708,5726,1.277618589438588e-05
3177,352,681,5790,1.2941770813256256e-05
3149,349,657,5845,1.1117056319490664e-05
3126,340,638,5896,8.022511166332729e-06
3110,328,615,5947,8.888191775808433e-06
3093,316,589,6002,1.0978292074167146e-05
3073,301,577,6049,9.587614156055905e-06
3056,294,553,6097,1.0651089251394109e-05
3038,279,535,6148,8.61363538481416e-06
3024,269,511,6196,7.765663342962756e-06
3012,255,498,6235,8.000128002048032e-06
3000,235,493,6272,6.76132521974307e-06
2990,224,478,6308,4.897776409510083e-06
2983,210,456,6351,9.557080767624727e-06
2970,203,441,6386,6.107942615879124e-06
2962,185,430,6423,1.1777083366047454e-05
2947,178,418,6457,8.92968763952637e-06
2936,172,401,6491,1.1041877594841234e-05
2923,166,390,6521,5.263296402536909e-06
2917,157,386,6540,9.769423834907394e-06
2906,159,365,6570,4.713912641770923e-06
2901,152,340,6607,9.124642618164122e-06
2892,147,321,6640,8.617606632110063e-06
2884,135,321,6660,9.721700130918897e-06
2875,128,311,6686,6.7104711309939886e-06
2869,124,292,6715,1.4324116560111156e-05
2857,120,280,6743,8.750437521876094e-06
2850,116,272,6762,7.739938080495356e-06
2844,110,263,6783,5.347793767681143e-06
2840,108,248,6804,1.1358473421172194e-05
2832,107,233,6828,4.546446497417618e-06
2829,99,228,6844,9.302152518092689e-06
2823,96,218,6863,6.499689639819698e-06
2819,91,215,6875,9.899601541037974e-06
2813,93,197,6897,1.4436237844236602e-05
2805,93,194,6908,3.6753220500946393e-06
2803,86,189,6922,1.1325733765976362e-05
2797,83,184,6936,9.71537827796863e-06
2792,81,180,6947,9.949060808659664e-06
2787,76,176,6961,6.116058322732166e-06
2784,72,165,6979,4.353883664228492e-06
2782,68,162,6988,6.656548712623479e-06
2779,66,155,7000,2.3215591591312724e-06
2778,63,146,7013,9.862224720652485e-06
2774,65,137,7024,1.052526326314737e-05
2770,62,134,7034,8.082332022199471e-06
2767,59,132,7042,8.213687288497552e-06
2764,55,124,7057,1.1670790345922226e-05
2760,54,118,7068,9.211495946941784e-06
2757,55,115,7073,1.577013451924745e-05
2752,56,105,7087,1.3842746400885937e-05
2748,54,102,7096,1.0702971144789794e-05
2745,55,98,7102,1.4869335712427048e-05
2741,54,94,7111,3.881173977504716e-06
2740,49,92,7119,1.1900983814662011e-05
2737,43,96,7124,7.6117403483132384e-06
2735,42,89,7134,1.2324630774603044e-05
2732,41,86,7141,1.2768565494228608e-05
2729,38,88,7145,8.328058896032513e-06
2727,36,88,7149,4.167083375004167e-06
2726,33,85,7156,2.589443701178197e-05
2720,35,82,7163,1.3450502152080344e-05
2717,34,79,7170,1.8635594918073267e-05
2713,35,75,7177,1.474382602285293e-05
2710,35,75,7180,1.4760147601476015e-05
2707,34,73,7186,0.0
2707,29,75,7189,0.0
2707,28,68,7197,5.432538734001173e-06
2706,27,65,7202,1.1370743078060151e-05
2704,27,63,7206,1.1740396355780973e-05
2702,29,56,7213,1.3217722322089458e-05
2700,28,56,7216,0.0
2700,27,52,7221,0.0
2700,22,47,7231,1.5760441292356184e-05
2698,21,50,7231,7.412898443291327e-06
2697,19,48,7236,7.724632307502164e-06
2696,19,45,7240,0.0
2696,18,46,7240,2.419042704167204e-05
2693,18,42,7247,0.0
2693,16,39,7252,3.808544469517362e-05
2689,20,37,7254,0.0
2689,18,37,7256,1.005095835887952e-05
2688,19,36,7257,3.1001984126984125e-05
2685,22,36,7257,0.0
2685,19,37,7259,0.0
2685,17,36,7262,2.069108214359611e-05
2683,16,33,7268,2.2588915619105703e-05
2681,16,31,7272,1.2032101647194716e-05
2680,16,29,7275,0.0
2680,14,30,7276,0.0
2680,14,26,7280,0.0
2680,14,26,7280,0.0
2680,14,23,7283,0.0
2680,13,21,7286,1.7768301350390903e-05
2679,14,20,7287,1.866368047779022e-05
2678,14,17,7291,0.0
2678,13,18,7291,0.0
2678,13,17,7292,0.0
2678,12,16,7294,0.0
2678,11,16,7295,0.0
2678,10,14,7298,0.0
2678,9,14,7299,0.0
2678,8,14,7300,0.0
2678,6,16,7300,2.333831217326363e-05
2677,7,15,7301,2.4903498941601293e-05
2676,7,15,7302,0.0
2676,7,13,7304,0.0
2676,6,14,7304,2.6692291266282297e-05
2675,6,14,7305,0.0
2675,5,15,7305,0.0
2675,5,14,7306,0.0
2675,5,14,7306,0.0
2675,5,12,7308,3.115264797507788e-05
2674,5,13,7308,0.0
2674,3,15,7308,0.0
2674,3,14,7309,0.0
2674,3,13,7310,2.876704447385076e-05
2673,4,11,7312,0.0
2673,4,11,7312,3.401013502023603e-05
2672,5,11,7312,0.0
2672,5,11,7312,3.402286336418073e-05
2671,6,10,7313,7.487832272557094e-05
2669,8,9,7314,0.0
2669,8,8,7315,0.0
2669,8,8,7315,0.0
2669,8,8,7315,4.683402023229674e-05
2668,8,9,7315,0.0
2668,8,9,7315,8.329168748958855e-05
2666,10,8,7316,0.0
2666,9,8,7317,0.0
2666,8,9,7317,0.0
2666,8,9,7317,0.0
2666,8,9,7317,0.0
2666,8,7,7319,0.0
2666,8,7,7319,0.0
2666,7,8,7319,4.6886721680420107e-05
2665,8,6,7321,0.0
2665,7,6,7322,6.253908692933083e-05
2664,6,8,7322,0.0
2664,4,10,7322,0.0
2664,4,10,7322,0.0
2664,4,8,7324,0.0
2664,4,6,7326,6.256256256256256e-05
2663,5,5,7327,0.0
2663,5,5,7327,0.0
2663,5,5,7327,0.0
2663,5,4,7328,0.0
2663,3,6,7328,0.0
2663,3,4,7330,0.0
2663,3,3,7331,0.0
2663,3,3,7331,0.0
2663,3,3,7331,0.0
2663,2,4,7331,0.0
2663,0,6,7331,0.0
2663,0,6,7331,0.0
