S,E,I,R,Beta
99400,0,600,0,3.2193158953722333e-06
99208,192,559,41,3.4440929586294834e-06
99017,370,526,87,3.744028131129766e-06
98822,530,538,110,4.871512815012896e-06
98563,730,554,153,4.376976575776581e-06
98324,898,587,191,4.9379560548939925e-06
98039,1095,633,233,5.75261929083353e-06
97682,1338,677,303,6.865191263472522e-06
97228,1666,746,360,7.114092730930344e-06
96712,1999,883,406,8.07993789361593e-06
96022,2467,1020,491,7.116424708226587e-06
95325,2898,1212,565,6.94168551394872e-06
94523,3410,1403,664,6.786523252751338e-06
93623,3947,1654,776,6.8387684838706e-06
92564,4561,1978,897,6.71248737626357e-06
91335,5380,2239,1046,6.757977108599494e-06
89953,6230,2593,1224,6.302301357366944e-06
88483,7096,3004,1417,6.335520783495345e-06
86799,8038,3502,1661,5.924924891789849e-06
84998,9021,4027,1954,5.527526019061212e-06
83106,10040,4554,2300,5.480035174955962e-06
81032,11094,5185,2689,5.136249612401182e-06
78874,12183,5864,3079,4.994409547671332e-06
76564,13274,6630,3532,4.863881067410909e-06
74095,14428,7409,4068,4.546697741718441e-06
71599,15525,8246,4630,4.3749603259864745e-06
69016,16613,9066,5305,4.177727255513072e-06
66402,17565,10007,6026,3.7276999380756353e-06
63925,18284,10983,6808,3.6975407401583513e-06
61329,19061,11910,7700,3.644436657233435e-06
58667,19727,12951,8655,3.524628824964415e-06
55989,20495,13790,9726,3.287188741401874e-06
53451,20976,14730,10843,3.295936080330307e-06
50856,21459,15685,12000,3.095240280155726e-06
48387,21820,16521,13272,3.047279262042333e-06
45951,21999,17504,14546,2.9366191162138096e-06
43589,22094,18378,15939,2.989718954459405e-06
41194,22314,19068,17424,2.7409740374226244e-06
39041,22195,19861,18903,2.757310383314751e-06
36903,22119,20450,20528,2.703181346299593e-06
34863,21894,21051,22192,2.4785358894170105e-06
33044,21446,21648,23862,2.498124966393439e-06
31257,21057,22063,25623,2.472364651089583e-06
29552,20724,22367,27357,2.397919783256373e-06
27967,20210,22636,29187,2.3741787466134465e-06
26464,19683,22863,30990,2.256025203698747e-06
25099,19170,22960,32771,2.3443748123285447e-06
23748,18642,22975,34635,2.17187981971748e-06
22563,17965,22954,36518,2.2861066222133232e-06
21379,17374,22965,38282,2.2180638447374863e-06
20290,16732,22782,40196,2.1546932138716034e-06
19294,16023,22687,41996,2.188598835677299e-06
18336,15384,22542,43738,2.058887013777501e-06
17485,14705,22316,45494,2.032315820545847e-06
16692,14012,21988,47308,1.9045091846058897e-06
15993,13320,21550,49137,1.7670143680899837e-06
15384,12594,21170,50852,1.95284145801354e-06
14748,11961,20776,52515,1.808067747110512e-06
14194,11328,20324,54154,1.840689495801384e-06
13663,10736,19767,55834,1.9290829060997863e-06
13142,10199,19272,57387,1.8320179760130729e-06
12678,9665,18782,58875,1.8478218271064005e-06
12238,9101,18269,60392,1.7399003547884933e-06
11849,8530,17770,61851,1.652761229717046e-06
11501,8052,17191,63256,1.5932128847870228e-06
11186,7601,16571,64642,1.548311588870555e-06
10899,7118,16082,65901,1.8142636932322453e-06
10581,6675,15589,67155,1.6126371680529618e-06
10315,6262,15005,68418,1.5183176136311325e-06
10080,5902,14441,69577,1.731182051104494e-06
9828,5586,13884,70702,1.480374571702719e-06
9626,5220,13288,71866,1.5792318441187468e-06
9424,4894,12755,72927,1.555700051712468e-06
9237,4621,12215,73927,1.7016757650927008e-06
9045,4377,11677,74901,1.3823340454720678e-06
8899,4081,11181,75839,1.638195581235762e-06
8736,3852,10678,76734,1.17920725712447e-06
8626,3571,10193,77610,1.5126559602318427e-06
8493,3337,9764,78406,1.350607409152478e-06
8381,3117,9295,79207,1.1938168758081931e-06
8288,2913,8856,79943,1.3351766400546888e-06
8190,2726,8444,80640,1.3013987433693734e-06
8100,2543,8062,81295,1.4700882971783493e-06
8004,2396,7647,81953,9.966247424215184e-07
7943,2231,7232,82594,1.3752577824967496e-06
7864,2101,6850,83185,1.3737181724350454e-06
7790,1966,6516,83728,1.2411435542096043e-06
7727,1833,6194,84246,1.3163107745385714e-06
7664,1727,5875,84734,1.0882601163772045e-06
7615,1604,5609,85172,1.1940288723205027e-06
7564,1484,5354,85598,1.358103293681985e-06
7509,1386,5069,86036,8.407087795033938e-07
7477,1264,4828,86431,1.3019767109054346e-06
7430,1190,4569,86811,1.060455695486612e-06
7394,1114,4274,87218,1.20245721499011e-06
7356,1052,4004,87588,1.0185572991445748e-06
7326,975,3791,87908,1.188210104063441e-06
7293,893,3621,88193,1.2496235509052897e-06
7260,841,3430,88469,1.08425896923114e-06
7233,788,3261,88718,8.479314267679995e-07
7213,727,3081,88979,8.999582554363215e-07
7193,666,2930,89211,8.06624187622684e-07
7176,626,2770,89428,1.408626428246582e-06
7148,595,2601,89656,1.0219477808350153e-06
7129,560,2461,89850,1.0829623854674657e-06
7110,519,2339,90032,1.1424936065456463e-06
7091,480,2217,90212,1.1449837593595266e-06
7073,458,2084,90385,1.288997954699456e-06
7054,444,1952,90550,1.2346209800740888e-06
7037,405,1853,90705,6.90207285352628e-07
7028,369,1771,90832,1.0444629483999952e-06
7015,342,1676,90967,8.5054698676719e-07
7005,310,1585,91100,1.6211944149852405e-06
6987,298,1497,91218,1.2428846051436874e-06
6974,284,1415,91327,8.106840044952428e-07
6966,261,1349,91424,1.0641542410696708e-06
6956,241,1262,91541,1.1391504125091474e-06
6946,226,1174,91654,1.2263011177489429e-06
6936,205,1102,91757,3.924917890717726e-07
6933,186,1041,91840,5.542274879375851e-07
6929,174,980,91917,2.945325915039129e-07
6927,155,932,91986,7.74477676765236e-07
6922,143,864,92071,5.016212398471861e-07
6919,124,813,92144,1.955504451705884e-06
6908,122,765,92205,2.0815120103243e-06
6897,120,717,92266,8.088735041148406e-07
6893,118,674,92315,4.304887640280145e-07
6891,111,628,92370,1.1553886866188427e-06
6886,100,588,92426,2.469765135214702e-07
6885,93,555,92467,0.0
6885,84,515,92516,5.640515825172212e-07
6883,84,475,92558,3.058641810104223e-07
6882,78,440,92600,6.604845314522734e-07
6880,68,424,92628,3.428038613426942e-07
6879,62,408,92651,1.0688968129772625e-06
6876,63,377,92684,7.715299284174533e-07
6874,62,350,92714,4.156448730204913e-07
6873,57,329,92741,0.0
6873,51,308,92768,1.41717732289535e-06
6870,48,293,92789,4.967931998946799e-07
6869,45,277,92809,0.0
6869,43,252,92836,1.1554095117932649e-06
6867,41,238,92854,1.8355966239706887e-06
6864,40,217,92879,0.0
6864,36,206,92894,7.072215810079888e-07
6863,35,192,92910,0.0
6863,32,181,92924,1.6100428029879177e-06
6861,32,170,92937,8.573608717645345e-07
6860,31,156,92953,9.34439709949914e-07
6859,30,149,92962,0.0
6859,24,141,92976,0.0
6859,22,131,92988,1.1129301335850038e-06
6858,21,121,93000,1.205083524339072e-06
6857,21,115,93007,1.26814236166152e-06
6856,20,108,93016,0.0
6856,19,98,93027,0.0
6856,16,93,93035,1.5683617520482803e-06
6855,16,89,93040,1.6390889943369476e-06
6854,16,88,93042,1.6579568665941587e-06
6853,16,78,93053,0.0
6853,16,70,93061,2.0845927748014424e-06
6852,16,68,93064,0.0
6852,15,59,93074,0.0
6852,13,53,93082,0.0
6852,9,53,93086,0.0
6852,5,53,93090,0.0
6852,5,47,93096,0.0
6852,5,43,93100,0.0
6852,5,39,93104,0.0
6852,5,37,93106,0.0
6852,5,31,93112,0.0
6852,5,29,93114,0.0
6852,5,26,93117,0.0
6852,5,25,93118,0.0
6852,5,20,93123,0.0
6852,5,17,93126,0.0
6852,5,15,93128,0.0
6852,5,13,93130,0.0
6852,3,13,93132,0.0
6852,3,12,93133,0.0
6852,3,11,93134,0.0
6852,3,11,93134,0.0
6852,3,10,93135,0.0
6852,3,10,93135,0.0
6852,3,10,93135,0.0
6852,1,10,93137,0.0
6852,1,10,93137,1.4594279042615294e-05
6851,2,9,93138,0.0
6851,2,8,93139,0.0
6851,1,8,93140,0.0
6851,1,7,93141,0.0
6851,1,6,93142,0.0
6851,1,4,93144,0.0
6851,1,3,93145,0.0
6851,1,2,93146,0.0
6851,1,2,93146,7.298204641658152e-05
6850,2,2,93146,0.0
6850,2,2,93146,0.0
6850,1,2,93147,0.0
6850,1,2,93147,0.0
6850,1,2,93147,0.0
6850,1,2,93147,0.0
6850,1,2,93147,0.0
6850,1,2,93147,0.0
6850,1,1,93148,0.0
6850,1,1,93148,0.0
6850,0,2,93148,0.0
6850,0,2,93148,0.0
6850,0,2,93148,0.0
6850,0,1,93149,0.0
6850,0,1,93149,0.0
6850,0,1,93149,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
6850,0,0,93150,0.0
