S,E,I,R,Beta
9950,0,50,0,2.2110552763819096e-05
9939,11,47,3,2.354789749386149e-05
9928,21,46,5,1.9707108573030164e-05
9919,28,47,6,2.145034352725159e-05
9909,36,43,12,1.642856975218676e-05
9902,39,43,16,1.8788781218734292e-05
9894,44,44,18,2.75649153757098e-05
9882,51,46,21,4.839717360506146e-05
9860,69,48,23,2.746788370520622e-05
9847,77,51,25,2.986875668313431e-05
9832,85,55,28,3.328648568681116e-05
9814,89,63,34,5.013893336697494e-05
9783,105,72,40,3.407271116562745e-05
9759,115,79,47,2.983289686508137e-05
9736,127,84,53,4.279649411120241e-05
9701,147,94,58,4.276812875180668e-05
9662,163,109,66,5.5072458263622366e-05
9604,200,122,74,5.462204955585446e-05
9540,243,135,82,5.512850376582033e-05
9469,286,155,90,4.292444956206842e-05
9406,320,162,112,4.725116355990266e-05
9334,360,173,133,2.786753877613201e-05
9289,363,200,148,3.2834535472063735e-05
9228,379,237,156,5.075362271128596e-05
9117,452,253,178,4.5521527130179865e-05
9012,515,275,198,4.963079530323205e-05
8889,581,301,229,4.185994186700573e-05
8777,628,344,251,4.868697520739989e-05
8630,713,380,277,3.659205952308349e-05
8510,765,417,308,4.4523722972268485e-05
8352,837,463,348,3.542820022674048e-05
8215,889,514,382,4.073406575709708e-05
8043,974,556,427,4.226383905930087e-05
7854,1070,609,467,3.5960047550890784e-05
7682,1131,683,504,3.716546790561725e-05
7487,1223,726,564,3.8818433126142245e-05
7276,1306,799,619,2.8898134763011213e-05
7108,1344,861,687,2.8431428296918228e-05
6934,1395,917,754,3.145406809617018e-05
6734,1449,986,831,2.936869062629712e-05
6539,1498,1055,908,2.971598045703178e-05
6334,1567,1104,995,2.831509726664928e-05
6136,1603,1179,1082,2.9028202142447198e-05
5926,1640,1261,1173,2.729942085081589e-05
5722,1661,1336,1281,2.747039998995368e-05
5512,1683,1431,1374,2.5736364291010076e-05
5309,1688,1514,1489,2.4135879527623517e-05
5115,1716,1584,1585,2.4191079909554986e-05
4919,1741,1634,1706,2.5380565404348487e-05
4715,1771,1673,1841,2.205827822461285e-05
4541,1772,1722,1965,2.007774820253e-05
4384,1754,1752,2110,2.2653984601539844e-05
4210,1749,1777,2264,1.8579981473486094e-05
4071,1698,1816,2415,2.0965959937973223e-05
3916,1701,1827,2556,2.1524818115286927e-05
3762,1688,1833,2717,1.841715167583029e-05
3635,1667,1832,2866,1.907101625991843e-05
3508,1641,1863,2988,1.927960383168355e-05
3382,1591,1888,3139,1.754051859796129e-05
3270,1536,1908,3286,1.7630578475307575e-05
3160,1497,1901,3442,1.8477949646754872e-05
3049,1465,1900,3586,1.8470249089433983e-05
2942,1438,1870,3750,1.7994961410804975e-05
2843,1386,1862,3909,2.1724075527243314e-05
2728,1363,1866,4043,1.5126370016941534e-05
2651,1294,1856,4199,1.727552387518048e-05
2566,1249,1834,4351,1.891185037793952e-05
2477,1224,1805,4494,1.2301539817288585e-05
2422,1136,1816,4626,1.4778262403736672e-05
2357,1088,1798,4757,1.8405403071248258e-05
2279,1061,1759,4901,1.2722135343064853e-05
2228,1006,1731,5035,1.400172376777052e-05
2174,962,1685,5179,1.2284375093838976e-05
2129,915,1623,5333,1.7074886690762514e-05
2070,891,1567,5472,1.1098471185594185e-05
2034,852,1515,5599,1.5576778916829736e-05
1986,823,1478,5713,1.4989909065760733e-05
1942,781,1457,5820,1.3429963095875092e-05
1904,725,1423,5948,8.858075907805146e-06
1880,690,1381,6049,1.4636325820019412e-05
1842,653,1333,6172,1.3847109985965547e-05
1808,629,1271,6292,1.218467794155532e-05
1780,589,1245,6386,1.5793511123144263e-05
1745,566,1215,6474,1.603641208862476e-05
1711,548,1165,6576,1.505030564662384e-05
1681,515,1147,6657,1.8152519543780507e-05
1646,507,1106,6741,1.2084751460607004e-05
1624,480,1071,6825,1.552345075961419e-05
