S,E,I,R,Beta
9940,0,60,0,3.856472166331321e-05
9917,23,57,3,1.7690692396009686e-05
9907,32,52,9,1.1646776560473949e-05
9901,33,56,10,2.1642835500021643e-05
9889,43,55,13,2.0224491859642027e-05
9878,48,59,15,1.887433467970254e-05
9867,54,59,20,2.061313778336623e-05
9855,62,58,25,2.6242586469322416e-05
9840,74,59,27,3.444949703734326e-05
9820,87,59,34,4.314957368221202e-05
9795,104,61,40,4.518866266663319e-05
9768,122,68,42,3.914342149636268e-05
9742,136,78,44,3.553211313424822e-05
9715,149,85,51,2.664163967182344e-05
9693,153,99,55,2.813651838721477e-05
9666,165,103,66,3.4150329751566395e-05
9632,179,118,71,3.7832929782082326e-05
9589,201,132,78,3.397200706617747e-05
9546,224,143,87,4.175585570934408e-05
9489,261,144,106,5.1960749874123256e-05
9418,305,156,121,3.947705158153236e-05
9360,330,178,132,4.6816479400749066e-05
9282,377,201,140,4.555974705228437e-05
9197,432,216,155,3.574031789754308e-05
9126,453,251,170,3.623463629592959e-05
9043,499,267,191,3.520425300509716e-05
8958,533,297,212,2.9693376422557043e-05
8879,552,328,241,2.9186433321704542e-05
8794,561,379,266,2.6703263138755555e-05
8705,589,412,294,2.955560636393547e-05
8599,643,441,317,2.900722253470912e-05
8489,699,463,349,2.900462980042525e-05
8375,750,486,389,2.481420060192863e-05
8274,783,516,427,2.4593711879746588e-05
8169,810,559,462,2.868736054603216e-05
8038,850,603,509,2.4964338133501027e-05
7917,885,642,556,2.1051745189676224e-05
7810,911,666,613,2.2685938178895926e-05
7692,941,692,675,2.0101960147770077e-05
7585,955,739,721,2.0159437962005703e-05
7472,978,778,772,2.06426184748683e-05
7352,998,814,836,2.255817000104269e-05
7217,1028,857,898,2.215047480431996e-05
7080,1061,896,963,1.7497730024213076e-05
6969,1066,928,1037,1.9946709813410128e-05
6840,1090,954,1116,1.8543038238503315e-05
6719,1089,1003,1189,2.047733863449093e-05
6581,1128,1022,1269,2.0220697013373315e-05
6445,1153,1050,1352,1.9210166611252725e-05
6315,1183,1058,1444,1.960705075532047e-05
6184,1202,1094,1520,1.847664906310086e-05
6059,1203,1135,1603,1.8467448940048407e-05
5932,1213,1163,1692,1.3915229580995045e-05
5836,1199,1189,1776,1.6140644968643913e-05
5724,1189,1203,1884,1.5103169167693392e-05
5620,1153,1235,1992,1.829786620946014e-05
5493,1186,1219,2102,1.4785019101796649e-05
5394,1171,1233,2202,1.5637211873094403e-05
5290,1150,1257,2303,1.6392135985550858e-05
5181,1155,1269,2395,1.6274534050203742e-05
5074,1137,1300,2489,1.6069858403323125e-05
4968,1139,1280,2613,1.5882900563607087e-05
4867,1124,1307,2702,1.6191992383789834e-05
4764,1121,1320,2795,1.351677988957586e-05
4679,1099,1330,2892,1.4462315223836467e-05
4589,1085,1319,3007,1.5199348542704634e-05
4497,1090,1288,3125,1.415712614482809e-05
4415,1044,1323,3218,1.4380988333423214e-05
4331,1016,1338,3315,1.1907066895972616e-05
4262,987,1327,3424,1.5029154792160934e-05
4177,984,1322,3517,1.2314392228604375e-05
4109,965,1299,3627,1.1428376584118193e-05
4048,903,1312,3737,1.280367299720428e-05
