rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
227.89499901467627,7.723883833330066e-06,0.34186744689941406,14,421,773.9825903300359,130,82
212.6101493975489,7.958072156814151e-06,0.014000177383422852,14,429,819.3673843215947,94,82
183.10940522099318,7.365558635227858e-06,0.027005910873413086,33,504,885.3881121017005,99,80
87.77826608417301,6.411633997032374e-06,0.01400136947631836,55,526,639.4776321718508,84,84
195.63314032935205,6.743764984643167e-06,0.007999658584594727,67,400,233.27581143427489,118,90
171.67986439443575,6.905857854892638e-06,0.00699925422668457,61,417,263.23897789425547,119,90
110.31074014954173,7.335412564714445e-06,0.010999679565429688,57,392,390.2560578340039,106,88
120.66830054337893,6.895631107925831e-06,0.007997989654541016,44,352,432.7546296447672,110,87
139.9997364564309,7.159084880861768e-06,0.006997823715209961,42,334,605.0880127395699,110,85
219.48744299031577,7.253956607976872e-06,0.010013341903686523,24,401,770.1875354209185,116,82
113.4395817689616,6.892986579433424e-06,0.006001472473144531,63,479,451.3621028648876,94,87
253.11504227800748,7.82967559180257e-06,0.007998228073120117,14,554,1174.342971321169,85,75
129.0710951659134,6.607448718048418e-06,0.006979703903198242,70,491,421.50723461005106,98,87
114.89664348432579,6.319924975345151e-06,0.011018991470336914,47,523,750.240735698017,96,82
142.34371607936637,7.115228911945036e-06,0.006997585296630859,38,435,605.4885936372457,110,85
127.69515479305788,7.234595392794577e-06,0.00699925422668457,76,425,363.8332176074202,102,89
222.09346725960557,7.576225758458369e-06,0.008012771606445312,32,403,905.2593935532229,83,80
100.6507325555251,6.596724734681603e-06,0.006507396697998047,63,460,459.68350874866394,97,87
171.21430663398078,6.3027351074577775e-06,0.007998466491699219,58,448,329.1517914524419,110,89
140.8039859318456,6.242787244953803e-06,0.006998300552368164,52,541,461.3554398996747,87,87
138.04904972846876,6.801540600388618e-06,0.007369041442871094,70,439,369.69081102656224,106,88
130.12208516263658,6.7450725771757305e-06,0.008001327514648438,62,491,419.9650484148609,101,88
96.6911036352144,6.155756443847565e-06,0.0069997310638427734,57,472,551.9933792294967,92,86
162.24606159803767,7.418184624039377e-06,0.00799703598022461,62,400,260.85203745678007,126,90
130.91688807625673,6.956760383436923e-06,0.007999181747436523,70,415,400.02600562850637,92,87
205.01387705023546,7.140214304153496e-06,0.007996082305908203,25,473,964.0374333644471,80,79
135.44216394888272,6.630969787266324e-06,0.006999969482421875,56,389,333.1256193127565,106,88
146.721670268719,6.710503780556449e-06,0.008000373840332031,65,439,306.4740133395239,111,89
98.72389263186201,7.100045515492112e-06,0.006989717483520508,55,413,454.78523100313305,96,87
154.67322638483674,7.164358772987336e-06,0.0075931549072265625,32,401,678.8085996985536,100,84
374.63257589193057,8.348015233717281e-06,0.00799703598022461,14,443,1287.0536003976779,95,73
99.88063190443678,6.926360065096263e-06,0.006997346878051758,52,468,567.076199192847,81,85
122.95209845234675,7.012442227966686e-06,0.009998321533203125,36,439,679.5795295052942,93,83
155.4467638766833,7.146770458462455e-06,0.007013797760009766,77,481,389.56436163158014,101,88
224.75806746103248,7.218084144538466e-06,0.008998394012451172,21,507,1069.0495606390657,79,77
146.63518152747776,6.248562517426063e-06,0.007010936737060547,53,490,402.00635191451335,113,87
113.00636069725547,6.539839810732157e-06,0.006998538970947266,56,482,441.7662156498162,93,87
