S,E,I,R,Beta
99000,0,1000,0,4.646464646464647e-06
98540,460,922,78,4.52374736224804e-06
98129,835,888,148,4.762530366582176e-06
97714,1174,886,226,5.371090117836404e-06
97249,1519,928,304,6.194106773901762e-06
96690,1917,1012,381,8.12465738473104e-06
95895,2518,1139,448,8.148362080800532e-06
95005,3138,1315,542,8.292539336032545e-06
93969,3865,1518,648,8.258266879171924e-06
92791,4642,1806,761,7.79923464385896e-06
91484,5525,2088,903,7.999221353280627e-06
89956,6503,2466,1075,8.281060323372656e-06
88119,7689,2923,1269,7.830825075802057e-06
86102,8909,3500,1489,6.96516092209572e-06
84003,10113,4111,1773,6.674652446720687e-06
81698,11386,4809,2107,6.543888255006452e-06
79127,12857,5540,2476,6.099959307750885e-06
76453,14199,6433,2915,5.589418869380768e-06
73704,15464,7425,3407,5.428941171913059e-06
70733,16850,8383,4034,5.003754595171555e-06
67766,18128,9406,4700,5.065837087235233e-06
64537,19575,10443,5445,4.733219354146996e-06
61347,20839,11574,6240,4.474457703965366e-06
58170,21976,12625,7229,4.335534120714805e-06
54986,22907,13839,8268,4.205262798607596e-06
51786,23837,14953,9424,3.964584467679079e-06
48716,24527,16087,10670,3.821643248615112e-06
45721,25063,17255,11961,3.71142243046947e-06
42793,25454,18428,13325,3.502456393644366e-06
40031,25719,19437,14813,3.5189068442117364e-06
37293,25920,20454,16333,3.3351205331832025e-06
34749,25845,21409,17997,3.266386563130923e-06
32319,25793,22196,19692,3.1100469090982106e-06
30088,25403,22971,21538,3.151263021010122e-06
27910,25077,23668,23345,3.0064767320197403e-06
25924,24569,24343,25164,2.982246291671813e-06
24042,23955,24950,27053,2.764034015956378e-06
22384,23157,25421,29038,2.6606977807516983e-06
20870,22369,25609,31152,2.8009588671986817e-06
19373,21600,25791,33236,2.665871212326129e-06
18041,20834,25775,35350,2.49028629744158e-06
16883,19919,25811,37387,2.5610009720949272e-06
15767,19020,25716,39497,2.394786190874591e-06
14796,18093,25529,41582,2.411794225483709e-06
13885,17175,25270,43670,2.402572205773612e-06
13042,16303,25046,45609,2.4093070988301936e-06
12255,15513,24593,47639,2.309321581540876e-06
11559,14717,24091,49633,2.0864166558476445e-06
10978,13836,23661,51525,2.0750685259619447e-06
10439,12987,23065,53509,2.317511203951847e-06
9881,12238,22551,55330,2.234923378546596e-06
9383,11534,21960,57123,2.091718406364881e-06
8952,10782,21367,58899,2.1330279171948524e-06
8544,10094,20788,60574,2.055033550759261e-06
8179,9492,20069,62260,2.053070958256736e-06
7842,8895,19356,63907,2.009358312938017e-06
7537,8345,18754,65364,2.129482466853049e-06
7236,7806,18071,66887,1.7895140533291706e-06
7002,7217,17426,68355,1.93415906189745e-06
6766,6736,16669,69829,1.968391288949964e-06
6544,6305,16027,71124,1.8973941132041391e-06
6345,5900,15361,72394,1.7647261911888964e-06
6173,5465,14722,73640,1.8596174562224596e-06
6004,5089,14085,74822,1.8565306243595264e-06
5847,4735,13491,75927,1.6860653556709863e-06
5714,4375,12908,77003,1.7083283665267863e-06
5588,4070,12282,78060,1.719319214866761e-06
5470,3779,11692,79059,1.626137279760032e-06
5366,3524,11118,79992,1.7432352582472291e-06
5262,3284,10559,80895,1.4578451127038458e-06
5181,3037,10048,81734,1.5175180749849094e-06
5102,2806,9561,82531,1.7015092715240203e-06
5019,2617,9033,83331,1.2131471536248163e-06
4964,2443,8519,84074,1.2296540727703605e-06
4912,2243,8082,84763,1.4358122404958298e-06
4855,2079,7716,85350,1.6016580363992806e-06
4795,1925,7330,85950,1.3372274154381482e-06
4748,1806,6892,86554,1.4057298035743186e-06
4702,1660,6523,87115,1.891028134390544e-06
4644,1557,6135,87664,1.4741528359541664e-06
4602,1451,5791,88156,1.163219072950421e-06
4571,1334,5470,88625,1.199838261802309e-06
4541,1235,5146,89078,1.0270461476654427e-06
4517,1142,4856,89485,1.1397543017974563e-06
4492,1057,4593,89858,1.5025381261779172e-06
4461,977,4349,90213,1.288600744017452e-06
4436,893,4107,90564,1.3722200742403991e-06
4411,826,3844,90919,1.4744144274636463e-06
4386,771,3591,91252,1.2698311111923802e-06
4366,715,3365,91554,1.5655214990344817e-06
4343,666,3175,91816,1.015300211581312e-06
4329,617,2979,92075,1.0856002799608035e-06
4315,575,2776,92334,5.843832752845947e-07
4308,533,2619,92540,1.5067379548708938e-06
4291,501,2464,92744,1.1349638476182406e-06
4279,469,2309,92943,6.07274480271727e-07
4273,426,2200,93101,1.0637618875390933e-06
4263,398,2042,93297,9.190072057057482e-07
4255,365,1928,93452,1.2189710908816089e-06
4245,339,1805,93611,6.525519676073203e-07
4240,309,1693,93758,5.572334473804455e-07
4236,277,1588,93899,1.4865980215164254e-07
4235,243,1487,94035,4.763836762369501e-07
4232,218,1392,94158,1.0185124828889903e-06
4226,203,1296,94275,9.129258616559452e-07
4221,187,1228,94364,1.3504680722338362e-06
4214,181,1144,94461,8.29735049004152e-07
4210,165,1080,94545,1.5395442948887129e-06
4203,155,1018,94624,9.348734438447232e-07
4199,146,956,94699,2.491129089312957e-07
4198,128,897,94777,1.0622460236147913e-06
4194,117,829,94860,5.752372997670864e-07
4192,106,771,94931,0.0
4192,90,729,94989,1.3089142294683714e-06
4188,86,679,95047,1.054981411227534e-06
4185,79,636,95100,3.757053868638369e-07
4184,73,593,95150,8.060901724710533e-07
4182,67,545,95206,1.3162570913350796e-06
4179,65,499,95257,9.590849562249649e-07
4177,57,462,95304,1.0363907898023292e-06
4175,48,433,95344,5.531661849511139e-07
4174,49,401,95376,5.974522247328492e-07
4173,44,382,95401,0.0
4173,36,364,95427,0.0
4173,34,316,95477,1.5166819851547167e-06
4171,32,297,95500,1.6144825543051387e-06
4169,32,283,95516,3.390327564973509e-06
4165,32,265,95538,9.060227864730798e-07
4164,31,249,95556,0.0
4164,27,231,95578,0.0
4164,21,222,95593,0.0
4164,18,199,95619,2.413605008713114e-06
4162,16,192,95630,1.251401569758129e-06
4161,15,178,95646,1.3501508118456832e-06
4160,15,163,95662,1.4747522416234073e-06
4159,14,147,95680,0.0
4159,13,138,95690,1.7423363336365e-06
4158,11,128,95703,0.0
4158,9,121,95712,0.0
4158,8,112,95722,2.1473235758950045e-06
4157,7,100,95736,0.0
4157,3,95,95745,0.0
4157,3,85,95755,2.8300952327045805e-06
4156,3,79,95762,0.0
4156,3,75,95766,3.2082130253448828e-06
4155,2,71,95772,0.0
4155,2,66,95777,0.0
4155,2,64,95779,0.0
4155,2,61,95782,0.0
4155,1,57,95787,0.0
4155,1,52,95792,4.628343978524484e-06
4154,1,49,95796,0.0
4154,1,46,95799,0.0
4154,1,42,95803,0.0
4154,1,39,95806,0.0
4154,1,33,95812,0.0
4154,1,28,95817,0.0
4154,1,27,95818,0.0
4154,1,26,95819,0.0
4154,1,24,95821,0.0
4154,1,22,95823,0.0
4154,1,20,95825,0.0
4154,0,19,95827,0.0
4154,0,18,95828,0.0
4154,0,16,95830,0.0
4154,0,15,95831,0.0
4154,0,13,95833,0.0
4154,0,11,95835,0.0
4154,0,10,95836,0.0
4154,0,10,95836,0.0
4154,0,10,95836,0.0
4154,0,9,95837,0.0
4154,0,9,95837,0.0
4154,0,7,95839,0.0
4154,0,6,95840,0.0
4154,0,6,95840,0.0
4154,0,6,95840,0.0
4154,0,6,95840,0.0
4154,0,5,95841,0.0
4154,0,5,95841,0.0
4154,0,5,95841,0.0
4154,0,5,95841,0.0
4154,0,5,95841,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,4,95842,0.0
4154,0,3,95843,0.0
4154,0,3,95843,0.0
4154,0,3,95843,0.0
4154,0,3,95843,0.0
4154,0,3,95843,0.0
4154,0,2,95844,0.0
4154,0,2,95844,0.0
4154,0,2,95844,0.0
4154,0,2,95844,0.0
4154,0,2,95844,0.0
4154,0,2,95844,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,1,95845,0.0
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
4154,0,0,95846,
