S,E,I,R,Beta
99400,0,600,0,4.443326626425218e-06
99135,265,543,57,4.6813778967070684e-06
98883,488,527,102,4.279298819042097e-06
98660,665,527,148,4.692865421313533e-06
98416,851,555,178,4.631928302876116e-06
98163,1020,588,229,6.115747644778805e-06
97810,1266,651,273,8.637706478484023e-06
97260,1693,715,332,8.03843493541211e-06
96701,2071,832,396,8.4767638231408e-06
96019,2558,961,462,8.572271493396658e-06
95228,3091,1127,554,8.973000827528711e-06
94265,3759,1330,646,9.603385751813895e-06
93061,4610,1585,744,9.003286979399591e-06
91733,5483,1905,879,8.085773750608472e-06
90320,6340,2308,1032,7.469110407363459e-06
88763,7278,2754,1205,7.375641831174774e-06
86960,8337,3272,1431,7.275075745136454e-06
84890,9580,3861,1669,6.852568991808007e-06
82644,10887,4469,2000,6.5008549558375615e-06
80243,12211,5177,2369,6.176910803224658e-06
77677,13562,5996,2765,5.85505622172273e-06
74950,14911,6906,3233,5.544771907983061e-06
72080,16299,7872,3749,5.086235483608998e-06
69194,17580,8852,4374,4.907712731453186e-06
66188,18793,9954,5065,4.785717691724593e-06
63035,20011,11101,5853,4.441576537592018e-06
59927,21099,12219,6755,4.13794226301301e-06
56897,22044,13300,7759,4.132252701458552e-06
53770,22954,14447,8829,3.864497036933585e-06
50768,23742,15526,9964,3.7933380883946935e-06
47778,24360,16669,11193,3.849768705368816e-06
44712,24896,17896,12496,3.581757000327852e-06
41846,25260,18960,13934,3.4887817516951345e-06
39078,25621,19849,15452,3.328781411690609e-06
36496,25714,20826,16964,3.28918935975766e-06
33996,25602,21789,18613,3.3331585348857443e-06
31527,25538,22540,20395,3.119817103571933e-06
29310,25206,23258,22226,3.0629669429292683e-06
27222,24808,23861,24109,2.9913286478380712e-06
25279,24259,24461,26001,2.928763832552794e-06
23468,23661,24888,27983,2.7890416939030543e-06
21839,22941,25367,29853,2.6805542215711785e-06
20354,22160,25643,31843,2.668901304071926e-06
18961,21340,25796,33903,2.4533959248063264e-06
17761,20371,25921,35947,2.667345052736659e-06
16533,19599,25891,37977,2.611808392699586e-06
15415,18737,25840,40008,2.432695426532598e-06
14446,17875,25573,42106,2.4253740160878846e-06
13550,16982,25319,44149,2.3901656924069537e-06
12730,16124,24948,46198,2.3804422861767715e-06
11974,15281,24516,48229,2.347093309229332e-06
11285,14465,24083,50167,2.26656700885512e-06
10669,13613,23585,52133,2.149996086490488e-06
10128,12862,22976,54034,2.152978092120028e-06
9627,12079,22412,55882,2.2246907638125347e-06
9147,11298,21877,57678,2.28875355625703e-06
8689,10577,21340,59394,2.08172372764884e-06
8303,9902,20701,61094,2.01884562721208e-06
7956,9298,19979,62767,1.9628453012918465e-06
7644,8673,19341,64342,2.0765326887775868e-06
7337,8126,18660,65877,1.994033675941918e-06
7064,7604,17974,67358,1.9532428935667864e-06
6816,7088,17285,68811,1.7569984558784586e-06
6609,6541,16593,70257,1.7143408910507458e-06
6421,6099,15902,71578,1.8607977913936376e-06
6231,5714,15209,72846,1.804420278860175e-06
6060,5312,14559,74069,1.586806115188069e-06
5920,4915,13911,75254,1.894281600988524e-06
5764,4612,13196,76428,1.7485794172692123e-06
5631,4300,12582,77487,1.5102490440194125e-06
5524,3986,11950,78540,1.6663687401343396e-06
5414,3689,11384,79513,1.5413826520400377e-06
5319,3430,10800,80451,1.5318947449047092e-06
5231,3150,10272,81347,1.6935641880926731e-06
5140,2931,9777,82152,1.4128290448997071e-06
5069,2703,9276,82952,1.4887268076567516e-06
4999,2480,8850,83671,1.4466170070172227e-06
4935,2276,8416,84373,1.5650220932965048e-06
4870,2125,7937,85068,1.345296468415673e-06
4818,1960,7494,85728,1.3571117029225982e-06
4769,1819,7085,86327,1.627779266620329e-06
4714,1698,6655,86933,1.3706634042752585e-06
4671,1568,6291,87470,1.5313799663035152e-06
4626,1459,5920,87995,1.2415138874282844e-06
4592,1349,5549,88510,1.0988576276103365e-06
4564,1233,5247,88956,1.7956089260638398e-06
4521,1157,4953,89369,1.33973350824894e-06
4491,1075,4666,89768,1.0498684657976238e-06
4469,985,4384,90162,1.4801887455022678e-06
4440,916,4142,90502,1.2506470739208547e-06
4417,846,3911,90826,1.331412471757413e-06
4394,787,3667,91152,1.0550619451692996e-06
4377,736,3414,91473,1.338412340482998e-06
4357,678,3227,91738,1.1379769287979926e-06
4341,631,3027,92001,8.371253207807153e-07
4330,585,2866,92219,1.2087240869701156e-06
4315,559,2670,92456,1.128369376055134e-06
4302,506,2523,92669,6.449267390864115e-07
4295,469,2363,92873,9.853104984340954e-07
4285,438,2196,93081,7.439005468731735e-07
4278,411,2074,93237,6.762413424202137e-07
4272,393,1945,93390,4.814033871542321e-07
4268,353,1855,93524,8.841576629944652e-07
4261,325,1741,93673,2.6959987738597577e-07
4259,304,1623,93814,1.012679177305223e-06
4252,283,1532,93933,1.5351399679217154e-07
4251,258,1441,94050,3.26493778416182e-07
4249,235,1373,94143,1.0284755746478717e-06
4243,222,1289,94246,7.313647797028721e-07
4239,201,1217,94343,5.815234868613491e-07
4236,183,1147,94434,1.029083547588528e-06
4231,172,1087,94510,6.523019627548625e-07
4228,159,1015,94598,1.6311617133722636e-06
4221,151,944,94684,1.2548235416942729e-06
4216,141,894,94749,7.959451370935904e-07
4213,126,839,94822,1.1316355216995354e-06
4209,115,790,94886,1.2029677213686163e-06
4205,105,731,94959,1.6266219454073143e-06
4200,95,691,95014,1.0336985734959689e-06
4197,90,641,95072,0.0
4197,81,604,95118,1.183437554733987e-06
4194,78,552,95176,1.295847069312268e-06
4191,72,520,95217,1.835434906301048e-06
4187,69,484,95260,9.869193706612555e-07
4185,67,458,95290,1.043443781857643e-06
4183,60,427,95330,1.1197324287388289e-06
4181,56,398,95365,6.009478148936503e-07
4180,52,376,95392,6.362618344701212e-07
4179,50,346,95425,6.915944987807189e-07
4178,48,318,95456,0.0
4178,37,308,95477,2.331321144150249e-06
4175,36,279,95510,0.0
4175,31,269,95525,0.0
4175,31,250,95544,0.0
4175,29,227,95569,0.0
4175,27,206,95592,0.0
4175,27,191,95607,2.508072859516569e-06
4173,26,181,95620,1.323954440079808e-06
4172,27,168,95633,1.4267451947221842e-06
4171,23,156,95650,0.0
4171,22,141,95666,0.0
4171,18,131,95680,1.830157704689413e-06
4170,19,108,95703,0.0
4170,15,106,95709,0.0
4170,11,101,95718,2.3743381532397845e-06
4169,12,95,95724,2.5249018444407973e-06
4168,11,88,95733,0.0
4168,10,77,95745,0.0
4168,9,69,95754,0.0
4168,9,63,95760,0.0
4168,8,59,95765,0.0
4168,8,53,95771,0.0
4168,7,52,95773,0.0
4168,7,46,95779,5.215722273220396e-06
4167,6,46,95781,0.0
4167,5,41,95787,0.0
4167,4,38,95791,0.0
4167,4,36,95793,0.0
4167,4,36,95793,0.0
4167,3,36,95794,0.0
4167,2,36,95795,0.0
4167,1,34,95798,7.058258868702268e-06
4166,1,34,95799,0.0
4166,0,33,95801,0.0
4166,0,30,95804,0.0
4166,0,23,95811,0.0
4166,0,21,95813,0.0
4166,0,19,95815,0.0
4166,0,17,95817,0.0
4166,0,16,95818,0.0
4166,0,13,95821,0.0
4166,0,13,95821,0.0
4166,0,12,95822,0.0
4166,0,11,95823,0.0
4166,0,11,95823,0.0
4166,0,11,95823,0.0
4166,0,11,95823,0.0
4166,0,11,95823,0.0
4166,0,11,95823,0.0
4166,0,9,95825,0.0
4166,0,9,95825,0.0
4166,0,9,95825,0.0
4166,0,9,95825,0.0
4166,0,9,95825,0.0
4166,0,9,95825,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,7,95827,0.0
4166,0,6,95828,0.0
4166,0,5,95829,0.0
4166,0,5,95829,0.0
4166,0,4,95830,0.0
4166,0,4,95830,0.0
4166,0,3,95831,0.0
4166,0,3,95831,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,2,95832,0.0
4166,0,1,95833,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
4166,0,0,95834,0.0
