S,E,I,R,Beta
99200,0,800,0,4.700100806451613e-06
98827,373,734,66,4.838775181654651e-06
98476,685,714,125,4.9636004529761866e-06
98127,968,719,186,5.187566457722545e-06
97761,1234,770,235,5.924865531457117e-06
97315,1567,833,285,5.970635698147111e-06
96831,1890,935,344,7.477607079581896e-06
96154,2393,1039,414,8.628282633631328e-06
95292,3029,1174,505,8.250440982941985e-06
94369,3659,1379,593,8.53729797562069e-06
93258,4426,1606,710,8.332646290622352e-06
92010,5253,1905,832,8.466499561698903e-06
90526,6251,2232,991,8.067149088121142e-06
88896,7204,2733,1167,8.400809823249266e-06
86855,8481,3266,1398,7.568695607050809e-06
84708,9765,3845,1682,7.242811271865292e-06
82349,11131,4542,1978,7.023516599740601e-06
79722,12629,5291,2358,6.611995774334903e-06
76933,14169,6137,2761,6.01307472887244e-06
74094,15615,7053,3238,5.865074783186172e-06
71029,17120,8042,3809,5.511057655330184e-06
67881,18533,9129,4457,5.2349122579083644e-06
64637,19944,10238,5181,4.918749169611627e-06
61382,21214,11457,5947,4.558810816651463e-06
58176,22308,12650,6866,4.450173278197385e-06
54901,23374,13796,7929,4.231502415621478e-06
51696,24266,15017,9021,4.088526349184326e-06
48522,25048,16209,10221,3.979691631063748e-06
45392,25649,17395,11564,3.915937338112972e-06
42300,26135,18539,13026,3.692936888397178e-06
39404,26465,19591,14540,3.589546723853738e-06
36633,26516,20744,16107,3.4069602041466348e-06
34044,26438,21760,17758,3.363942510384485e-06
31552,26301,22663,19484,3.0570733954487387e-06
29366,25944,23347,21343,3.105272974920733e-06
27237,25487,24079,23197,2.935168353625326e-06
25312,24927,24569,25192,2.9185200904040783e-06
23497,24303,25055,27145,2.80270327015256e-06
21847,23550,25560,29043,2.831256469716516e-06
20266,22753,25912,31069,2.749781716081336e-06
18822,21946,26084,33148,2.570510571511922e-06
17560,21013,26155,35272,2.614952301615261e-06
16359,20132,26154,37355,2.676151001911436e-06
15214,19235,26065,39486,2.456166568037541e-06
14240,18288,25891,41581,2.5224591079543063e-06
13310,17403,25602,43685,2.3946288474950684e-06
12494,16520,25264,45722,2.477439962822433e-06
11712,15645,24894,47749,2.2602665904528093e-06
11053,14743,24449,49755,2.423818128795604e-06
10398,13898,23973,51731,2.3749228621443853e-06
9806,13146,23369,53679,2.2910115882682645e-06
9281,12334,22898,55487,2.089251133246988e-06
8837,11523,22314,57326,2.292219227157191e-06
8385,10802,21736,59077,2.1233826901843097e-06
7998,10105,21046,60851,2.209998475101052e-06
7626,9430,20410,62534,1.9338673891235444e-06
7325,8778,19745,64152,1.970516577834973e-06
7040,8233,19044,65683,1.976582937121689e-06
6775,7681,18354,67190,1.6244686801232185e-06
6573,7101,17719,68607,1.914705666765467e-06
6350,6607,17043,70000,1.6077905769611929e-06
6176,6114,16344,71366,2.090339437837783e-06
5965,5695,15677,72663,1.689599143137974e-06
5807,5285,15015,73893,1.7776838854848154e-06
5652,4937,14324,75087,1.4698753130710898e-06
5533,4598,13591,76278,1.8351307131026724e-06
5395,4272,12926,77407,1.9215389749048445e-06
5261,3965,12366,78408,1.3833910622423606e-06
5171,3641,11764,79424,1.7260753301357431e-06
5066,3380,11256,80298,1.7010710925660455e-06
4969,3117,10723,81191,1.6891071749200163e-06
4879,2884,10214,82023,1.745792329454049e-06
4792,2683,9716,82809,1.3960759355341103e-06
4727,2504,9209,83560,1.6080515416355671e-06
4657,2314,8709,84320,1.6273066794799808e-06
4591,2129,8221,85059,1.4837341274561e-06
4535,1990,7761,85714,1.5910837937176909e-06
4479,1823,7363,86335,1.2432200162546469e-06
4438,1657,6994,86911,1.2242515731310545e-06
4400,1527,6624,87449,1.3381093544137023e-06
4361,1401,6252,87986,1.1003128849719703e-06
4331,1293,5916,88460,8.196018795578646e-07
4310,1206,5580,88904,1.2474116208866602e-06
