median_beta
1.1956506139232188e-06
1.1836335273991284e-06
1.2056328487126445e-06
1.2650564707919947e-06
1.3696128910190903e-06
1.446146558385553e-06
1.574108338410691e-06
1.6946568765779042e-06
1.8249036549845454e-06
1.9069781847643614e-06
2.030298622188415e-06
2.108577315921291e-06
2.184687516262853e-06
2.2320951160250877e-06
2.3187396555787237e-06
2.370081795587568e-06
2.3931066668163393e-06
2.4104504473787978e-06
2.4457496338622542e-06
2.4720788969573625e-06
2.495028828143299e-06
2.459841727612096e-06
2.4444260730387758e-06
2.419220798361565e-06
2.3979810140235353e-06
2.3896744729556436e-06
2.3457954921023756e-06
2.3282471928584244e-06
2.2621926986573676e-06
2.2343242126963946e-06
2.21838294543267e-06
2.171342577978818e-06
2.1356365430128555e-06
2.1012648053623165e-06
2.06053048415694e-06
2.0435364379849925e-06
1.9897542719940167e-06
1.9512656362835275e-06
1.9065568760613239e-06
1.8801572401490536e-06
1.8458528165483955e-06
1.8152854709470659e-06
1.7819237526877315e-06
1.7485372434197537e-06
1.7117368413795563e-06
1.6894193257059393e-06
1.6589830065193734e-06
1.6440016379361094e-06
1.6112682065558914e-06
1.593624002753904e-06
1.5662858773502082e-06
1.5348644238086934e-06
1.5225133685642896e-06
1.4959987621590964e-06
1.474799581998922e-06
1.4611307182693458e-06
1.4349564053685501e-06
1.4110222433813434e-06
1.390378519518691e-06
1.3775627313117136e-06
1.3555983403043748e-06
1.3373101757262927e-06
1.3210845148958243e-06
1.3064060138284105e-06
1.2858940511339686e-06
1.2686612016170754e-06
1.2577376227094552e-06
1.2439503017606382e-06
1.2262019469751633e-06
1.2154531312130468e-06
1.1936662382293198e-06
1.1847223526276208e-06
1.1761609974355945e-06
1.1594399445610303e-06
1.1452792712950251e-06
1.1380195571532088e-06
1.126099614694187e-06
1.116985753507781e-06
1.1016088642138279e-06
1.090433497897482e-06
1.0892303219857349e-06
1.0682691141695368e-06
1.0631547615730542e-06
1.0518953754399475e-06
1.0480283507491692e-06
1.0365135947604733e-06
1.023755932896911e-06
1.015171228265865e-06
1.0102291284481682e-06
1.0008696997884946e-06
9.873850063764554e-07
9.86400758945322e-07
9.825854490857197e-07
9.694921113794884e-07
9.674698520483755e-07
9.595971465535927e-07
9.501019274729177e-07
9.440924522776054e-07
9.404978744023798e-07
9.300838029421283e-07
9.231096017186961e-07
9.203640901803183e-07
9.117844482614581e-07
9.019686436987005e-07
9.006753792746545e-07
8.879999931496955e-07
8.821307683941347e-07
8.75415614511195e-07
8.78432620921547e-07
8.739175056626397e-07
8.648154746019599e-07
8.624927777460843e-07
8.543053468240396e-07
8.567437762049517e-07
8.560384423220678e-07
8.425553248477718e-07
8.427273455357167e-07
8.350689128396613e-07
8.380343240580536e-07
8.314495010323223e-07
8.267023224931341e-07
8.266681834427754e-07
8.242285691809984e-07
8.113096784570266e-07
8.167890868098598e-07
8.017888354506431e-07
8.087902060983443e-07
7.956730701098027e-07
8.026829220696846e-07
7.919442280189995e-07
7.973366918081917e-07
7.952856726403647e-07
7.872752835223872e-07
7.882982482141638e-07
7.882702320197634e-07
7.867626985347697e-07
7.750354687289096e-07
7.750463589842411e-07
