S,E,I,R,Beta
99400,0,600,0,4.476861167002012e-06
99133,267,549,51,3.362486087713812e-06
98950,420,545,85,3.986815693219168e-06
98735,607,522,136,4.016323736647906e-06
98528,728,567,177,5.244751239121706e-06
98235,963,585,217,5.585768297632704e-06
97914,1191,633,262,6.53441210184738e-06
97509,1472,700,319,7.442536439859764e-06
97001,1839,792,368,7.1981971653109066e-06
96448,2216,911,425,7.557122742969691e-06
95784,2661,1064,491,7.359133237754873e-06
95034,3151,1240,575,7.866454586372143e-06
94107,3771,1467,655,7.90264927008893e-06
93016,4476,1744,764,7.75490534133222e-06
91758,5263,2071,908,7.156733914601157e-06
90398,6088,2434,1080,6.617317596503714e-06
88942,6902,2905,1251,6.440213934308502e-06
87278,7865,3376,1481,5.861180740867364e-06
85551,8767,3938,1744,5.7168326688242575e-06
83625,9835,4475,2065,5.462000317325116e-06
81581,10822,5154,2443,5.229880801955202e-06
79382,11950,5832,2836,4.92703597568307e-06
77101,13041,6595,3263,4.6098075681653415e-06
74757,14092,7385,3766,4.3526265452129895e-06
72354,15097,8179,4370,4.390120015640994e-06
69756,16221,8974,5049,4.052778168731625e-06
67219,17154,9857,5770,3.915012634073279e-06
64625,18046,10784,6545,3.822555372526962e-06
61961,18927,11674,7438,3.622122917006627e-06
59341,19608,12684,8367,3.6629051434155305e-06
56584,20408,13612,9396,3.3613711240807265e-06
53995,20934,14547,10524,3.2604879096722376e-06
51434,21467,15427,11672,3.1318042780164133e-06
48949,21751,16392,12908,2.946264296897057e-06
46585,21948,17227,14240,3.029208768613614e-06
44154,22113,18104,15629,2.8335025778793625e-06
41889,22205,18807,17099,2.727827467839774e-06
39740,22116,19518,18626,2.6687455549915523e-06
37670,21984,20142,20204,2.68731770819536e-06
35631,21826,20801,21742,2.6202154334922933e-06
33689,21675,21160,23476,2.567126716348658e-06
31859,21298,21656,25187,2.539356754033255e-06
30107,20872,22070,26951,2.334221054707023e-06
28556,20317,22409,28718,2.42846117491602e-06
27002,19916,22525,30557,2.3264606288464184e-06
25587,19348,22741,32324,2.302904195746568e-06
24247,18773,22889,34091,2.286529403201429e-06
22978,18187,22933,35902,2.26964578347996e-06
21782,17565,22883,37770,2.210909064295013e-06
20680,16967,22823,39530,2.167466376303859e-06
19657,16291,22739,41313,2.116423314489701e-06
18711,15561,22567,43161,2.275896772777666e-06
17750,14981,22345,44924,1.9136524224784825e-06
16991,14257,22012,46740,2.024032284496737e-06
