S,E,I,R,Beta
99000,0,1000,0,1.9292929292929294e-06
98809,191,923,77,1.842090982913104e-06
98641,342,859,158,2.1479331354079826e-06
98459,484,838,219,1.9270708636799523e-06
98300,586,837,277,2.6131207833042243e-06
98085,739,840,336,2.451712193262889e-06
97883,867,839,411,3.0076529424702843e-06
97636,1030,854,480,3.3101009024294508e-06
97360,1215,870,555,3.4827491759461272e-06
97065,1386,936,613,3.1919750664921427e-06
96775,1546,983,696,3.521503377095459e-06
96440,1717,1059,784,3.779498200136375e-06
96054,1947,1118,881,3.75273404833812e-06
95651,2163,1199,987,3.583712190277783e-06
95240,2365,1314,1081,3.412032215976685e-06
94813,2538,1456,1193,3.2307666809264693e-06
94367,2731,1603,1299,3.2987307931647467e-06
93868,2937,1758,1437,3.175373759671134e-06
93344,3192,1894,1570,3.27500661562649e-06
92765,3426,2096,1713,3.281294809217908e-06
92127,3734,2249,1890,3.2578222738061778e-06
91452,4017,2483,2048,2.8977169847910724e-06
90794,4257,2688,2261,2.97065072476994e-06
90069,4559,2877,2495,2.905894034131242e-06
89316,4845,3119,2720,2.9578937648331733e-06
88492,5202,3349,2957,3.0031072914945643e-06
87602,5599,3568,3231,2.594669143147724e-06
86791,5835,3854,3520,2.624871897731021e-06
85913,6116,4144,3827,2.6543193758865426e-06
84968,6430,4439,4163,2.383521923385429e-06
84069,6704,4714,4513,2.5283795081290506e-06
83067,7018,5017,4898,2.3947374957263954e-06
82069,7348,5277,5306,2.288270799776021e-06
81078,7602,5556,5764,2.344221549821341e-06
80022,7915,5866,6197,2.226203341302417e-06
78977,8164,6208,6651,2.28640558147622e-06
77856,8491,6519,7134,2.171243474526735e-06
76754,8759,6831,7656,2.113267418233821e-06
75646,8960,7141,8253,2.1733170916324133e-06
74472,9187,7540,8801,2.147746127432082e-06
73266,9498,7842,9394,2.025926385646449e-06
72102,9683,8203,10012,1.96972638417517e-06
70937,9859,8535,10669,1.8696920596531856e-06
69805,10048,8806,11341,1.895224721838356e-06
68640,10179,9106,12075,1.8942913737554636e-06
67456,10298,9450,12796,1.8934545144222564e-06
66249,10524,9680,13547,1.8182092628499367e-06
65083,10586,10040,14291,1.7844207883369034e-06
63917,10724,10255,15104,1.7437900003285434e-06
62774,10829,10465,15932,1.776445222291675e-06
