S,E,I,R,Beta
99300,0,700,0,1.1365271184002302e-06
99221,79,627,73,9.483766901418832e-07
99162,133,574,131,1.018992115601212e-06
99104,184,535,177,9.618895584813763e-07
99053,218,511,218,1.3434465088892794e-06
98985,268,486,261,1.3303757417624277e-06
98921,306,476,297,1.5078665183888782e-06
98850,354,466,330,1.5413304503941247e-06
98779,387,461,373,1.6030878018435905e-06
98706,420,463,411,1.9474461737912345e-06
98617,461,461,461,1.495740318540337e-06
98549,481,476,494,1.70541788238091e-06
98469,509,485,537,1.5913742490310154e-06
98393,546,493,568,1.7316820865053952e-06
98309,570,521,600,1.620492743423733e-06
98226,591,530,653,1.8632426030229091e-06
98129,624,552,695,1.8645967501223249e-06
98028,672,559,741,1.5511613526798556e-06
97943,701,567,789,1.7286806541781374e-06
97847,723,587,843,1.9151688493817026e-06
97737,772,610,881,2.012761916934322e-06
97617,822,627,934,1.9605966154318657e-06
97497,852,670,981,2.0666537156367155e-06
97362,906,703,1029,2.3084064301917585e-06
97204,972,735,1089,2.0295349117796167e-06
97059,1021,764,1156,2.076785054742705e-06
96905,1056,829,1210,2.0539185997204555e-06
96740,1114,883,1263,2.2476797974091275e-06
96548,1179,929,1344,2.0402909066843184e-06
96365,1252,987,1396,1.7663338967202491e-06
96197,1302,1016,1485,1.862156390196332e-06
96015,1357,1057,1571,2.118480088085417e-06
95800,1457,1086,1657,2.0857603124987987e-06
95583,1511,1169,1737,1.8436227215116504e-06
95377,1568,1234,1821,2.0306687396594144e-06
95138,1650,1306,1906,1.6418480938320692e-06
94934,1686,1369,2011,1.708156847516824e-06
94712,1715,1435,2138,1.7732098453319552e-06
94471,1797,1502,2230,1.930999305812797e-06
94197,1893,1555,2355,1.727241468732816e-06
93944,1960,1613,2483,1.715812915995542e-06
93684,2047,1654,2615,1.6843780633415985e-06
93423,2119,1709,2749,1.7787809434211933e-06
93139,2188,1787,2886,1.6222121165750706e-06
92869,2245,1870,3016,1.6238156870153998e-06
92587,2267,1999,3147,1.7938051942579451e-06
92255,2380,2066,3299,1.7418784784775437e-06
91923,2495,2112,3470,1.6688869043557203e-06
