S,E,I,R,Beta
63155,1064,1763,34018,6.915612862734559e-07
63078,1044,1725,34153,6.249451449803808e-07
63010,1006,1693,34291,8.436767319488098e-07
62920,995,1662,34423,6.980766744468746e-07
62847,976,1620,34557,7.170068323875719e-07
62774,949,1596,34681,6.687474093523866e-07
62707,928,1564,34801,7.035521880942084e-07
62638,917,1500,34945,8.514533243930735e-07
62558,904,1496,35042,7.159131726827023e-07
62491,877,1463,35169,7.76598501407716e-07
62420,846,1457,35277,6.267459547946836e-07
62363,831,1423,35383,6.761131010559545e-07
62303,815,1384,35498,6.378486492313947e-07
62248,791,1347,35614,5.247587373999464e-07
62204,775,1296,35725,7.938832880422918e-07
62140,763,1287,35810,6.502098552307757e-07
62088,741,1278,35893,9.073899653558511e-07
62016,744,1248,35992,7.623136130295574e-07
61957,721,1237,36085,6.784897064434693e-07
61905,705,1231,36159,7.742268541109248e-07
61846,704,1186,36264,9.407035557340136e-07
61777,701,1165,36357,8.753622419166376e-07
61714,697,1131,36458,6.447126812147659e-07
61669,667,1136,36528,6.708920111663838e-07
61622,642,1120,36616,6.520166730805789e-07
61577,622,1096,36705,6.815986962617215e-07
61531,606,1060,36803,7.512703368113573e-07
61482,603,1028,36887,9.334926662917508e-07
61423,597,1028,36952,8.076924758092936e-07
61372,577,1015,37036,5.77917947851895e-07
61336,555,999,37110,7.83358028695188e-07
61288,540,977,37195,8.350259866767262e-07
61238,535,958,37269,7.329628246028142e-07
61195,531,925,37349,8.303098424840398e-07
61148,526,907,37419,7.572856832833658e-07
61106,517,896,37481,7.48845098213409e-07
61065,507,856,37572,9.37410802492518e-07
61016,506,841,37637,7.210443778260067e-07
60979,490,826,37705,7.742910898512396e-07
60940,493,799,37768,7.188177870845284e-07
60905,477,773,37845,5.310159514005705e-07
60880,457,747,37916,7.036468255853023e-07
60848,438,729,37985,7.439437567698881e-07
60815,421,712,38052,6.928361664173996e-07
60785,409,702,38104,7.967927684963137e-07
60751,402,690,38157,8.349597155793225e-07
60716,397,678,38209,5.587209933923227e-07
60693,376,670,38261,6.885644930407032e-07
60665,363,659,38313,6.003266527399221e-07
60641,347,643,38369,4.872774049492971e-07
60622,329,621,38428,5.046981822524638e-07
60603,317,615,38465,3.487981021090346e-07
60590,303,585,38522,5.642520909066543e-07
60570,292,591,38547,5.86643469107774e-07
60549,282,578,38591,5.714722972231989e-07
60529,275,564,38632,6.737289868322892e-07
60506,264,555,38675,7.444723671213606e-07
60481,266,529,38724,5.625975931012282e-07
60463,260,507,38770,9.460200626063028e-07
60434,270,491,38805,4.7180789438405043e-07
60420,261,468,38851,4.2437976896765377e-07
60408,248,460,38884,8.277049397430804e-07
60385,250,452,38913,6.22847055875243e-07
60368,240,448,38944,4.806827647571088e-07
60355,227,433,38985,4.974417146586315e-07
60342,220,416,39022,1.1552739130545634e-06
60313,229,402,39056,7.423958251618237e-07
60295,228,381,39096,5.658965902336261e-07
60282,219,364,39135,5.013068614143562e-07
60271,204,362,39163,4.583350100755786e-07
60261,196,351,39192,1.0873876226260024e-06
60238,208,331,39223,6.519958244181263e-07
60225,207,320,39248,6.745537567455376e-07
60212,204,316,39268,4.204553194745654e-07
60204,189,323,39284,9.770701184599812e-07
60185,194,310,39311,1.2863563153395312e-06
60161,193,314,39332,5.823016095769346e-07
60150,178,319,39353,6.253957582532697e-07
60138,170,315,39377,8.974068636844253e-07
60121,168,310,39401,4.2924188907209174e-07
60113,155,308,39424,3.780758359634809e-07
60106,148,300,39446,4.991182244701028e-07
60097,143,287,39473,5.797827774250443e-07
60087,138,284,39491,3.5160285192105253e-07
60081,128,270,39521,3.698710444603489e-07
60075,122,257,39546,3.886192842604332e-07
60069,120,245,39566,4.076944167268865e-07
60063,117,237,39583,1.12399561332612e-06
60047,125,224,39604,1.1895443807113e-06
60031,121,225,39623,3.701791111629362e-07
60026,114,221,39639,5.276748099956083e-07
60019,112,210,39659,7.140595954138332e-07
60010,110,198,39682,9.257716306541502e-07
59999,114,187,39700,7.130243614577177e-07
59991,113,180,39716,4.630324178256368e-07
59986,109,175,39730,3.810412905868512e-07
59982,99,177,39742,5.651412938005696e-07
59976,93,181,39750,7.369430276714737e-07
59968,92,180,39760,7.411360132811573e-07
59960,96,168,39776,7.941802471488929e-07
59952,99,154,39795,2.166235152624264e-07
59950,89,153,39808,3.270699439075046e-07
59947,83,149,39821,5.597785874166475e-07
59942,80,146,39832,5.713285399630602e-07
59937,73,141,39849,4.733102144959064e-07
59933,75,127,39865,
