S,E,I,R,Beta
99500,0,500,0,4.864321608040201e-06
99258,242,465,35,4.874881296640427e-06
99033,442,452,73,4.378624484606856e-06
98837,599,460,104,6.356535200028505e-06
98548,827,478,147,6.835655389901537e-06
98226,1075,515,184,7.294452124375746e-06
97857,1352,561,230,8.652445070772173e-06
97382,1682,661,275,8.10943045667807e-06
96860,2026,793,321,9.217552198295063e-06
96152,2529,934,385,1.001047057362602e-05
95253,3178,1106,463,9.738982178403005e-06
94227,3878,1339,556,9.04335757341528e-06
93086,4641,1621,652,8.847363730153524e-06
91751,5506,1941,802,8.60245527887001e-06
90219,6491,2327,963,8.16425245101314e-06
88505,7586,2781,1128,8.308536212450368e-06
86460,8871,3322,1347,7.826749741626736e-06
84212,10227,3919,1642,7.081242498261384e-06
81875,11533,4624,1968,6.669484138513959e-06
79350,12900,5383,2367,6.138487508985615e-06
76728,14234,6226,2812,5.700128510161326e-06
74005,15528,7107,3360,5.350282511172779e-06
71191,16832,8048,3929,5.086001528160196e-06
68277,18088,9117,4518,4.978461935077647e-06
65178,19376,10195,5251,4.766063269813463e-06
62011,20604,11384,6001,4.521674135002888e-06
58819,21726,12549,6906,4.289277600855463e-06
55653,22721,13754,7872,4.1962169766183005e-06
52441,23665,14926,8968,3.954087279719618e-06
49346,24368,16126,10160,3.8127380325404153e-06
46312,24897,17324,11467,3.7329752894435616e-06
43317,25396,18398,12889,3.4832967626071745e-06
40541,25632,19405,14422,3.608754084897662e-06
37702,25932,20414,15952,3.3872599848251798e-06
35095,25979,21274,17652,3.337748706980662e-06
32603,25912,22093,19392,3.1931224961659243e-06
30303,25554,22939,21204,3.049830854007148e-06
28183,25109,23736,22972,3.007691042705015e-06
26171,24627,24345,24857,3.0919761108903173e-06
24201,24105,24913,26781,2.808003329625193e-06
22508,23367,25356,28769,2.7474412140796943e-06
20940,22537,25725,30798,2.671337330129213e-06
19501,21720,25898,32881,2.6730720177993805e-06
18151,20937,25965,34947,2.618341420114759e-06
16917,20053,25936,37094,2.673447532436645e-06
15744,19223,25783,39250,2.377271498929937e-06
14779,18340,25506,41375,2.4963312817204185e-06
13838,17406,25280,43476,2.2725671925225165e-06
13043,16481,24980,45496,2.3755875051954466e-06
12269,15670,24550,47511,2.367166831643476e-06
11556,14815,24234,49395,2.310317373189572e-06
10909,13970,23791,51330,2.354201171591524e-06
10298,13212,23254,53236,2.36355588581122e-06
9732,12428,22739,55101,2.114815043969987e-06
9264,11659,22153,56924,2.0172942342339397e-06
8850,10905,21504,58741,2.159629741727199e-06
8439,10340,20738,60483,2.15990148380775e-06
8061,9708,20133,62098,2.070340904366684e-06
7725,9065,19531,63679,2.0413982981830066e-06
7417,8466,18884,65233,2.027664367399989e-06
7133,7914,18198,66755,2.2263936673537057e-06
6844,7408,17474,68274,2.140610409775044e-06
6588,6938,16803,69671,2.1138561972897763e-06
6354,6479,16150,71017,1.8320533322418973e-06
6166,6010,15485,72339,1.822361443188772e-06
5992,5563,14827,73618,1.6545970378615923e-06
5845,5164,14223,74768,1.6840396406091002e-06
