S,E,I,R,Beta
99300,0,700,0,5.653862753560639e-06
98907,393,643,57,5.157459681283772e-06
98579,673,646,102,5.37043147836641e-06
98237,950,658,155,7.131812888581311e-06
97776,1308,694,222,7.0590096660389896e-06
97297,1660,776,267,8.423565257571965e-06
96661,2129,881,329,8.419609771402193e-06
95944,2636,1030,390,8.47986568216573e-06
95106,3206,1231,457,8.413375281653752e-06
94121,3841,1485,553,8.406687043760598e-06
92946,4635,1762,657,7.229613728821536e-06
91762,5335,2105,798,7.087425018382524e-06
90393,6169,2487,951,7.215065273365501e-06
88771,7171,2898,1160,6.542061502235041e-06
87088,8112,3402,1398,6.470375522368908e-06
85171,9270,3880,1679,6.363789426898246e-06
83068,10467,4495,1970,6.299032761022999e-06
80716,11794,5173,2317,5.6497057693588256e-06
78357,12969,5947,2727,5.688974526375113e-06
75706,14262,6832,3200,5.372920179139926e-06
72927,15594,7740,3739,5.128841276234289e-06
70032,16953,8669,4346,5.132534966530996e-06
66916,18359,9674,5051,4.949444422083035e-06
63712,19698,10745,5845,4.855493274878882e-06
60388,21055,11851,6706,4.567823096016894e-06
57119,22238,12955,7688,4.437977904018849e-06
53835,23266,14198,8701,4.352721811112204e-06
50508,24306,15314,9872,4.093191805189017e-06
47342,24916,16615,11127,3.789788986303657e-06
44361,25370,17751,12518,3.6167278748967632e-06
41513,25719,18824,13944,3.562650316586014e-06
38729,25909,19896,15466,3.5065762658327628e-06
36027,25988,20949,17036,3.4581920736401254e-06
33417,25930,21905,18748,3.3265055270504087e-06
30982,25733,22761,20524,3.1112566282989734e-06
28788,25296,23558,22358,3.0714210648679056e-06
26705,24879,24198,24218,2.9371366560395863e-06
24807,24177,24873,26143,2.813502493096259e-06
23071,23408,25380,28141,2.8742601854097632e-06
21388,22670,25712,30230,2.7294469480760777e-06
19887,21865,25902,32346,2.752793651671128e-06
18469,21016,26114,34401,2.6954207741129864e-06
17169,20217,26084,36530,2.5969316691855782e-06
16006,19319,26099,38576,2.5422475460931625e-06
14944,18434,25958,40664,2.3871125700831503e-06
14018,17532,25657,42793,2.455097667761203e-06
13135,16648,25312,44905,2.4302716562469774e-06
12327,15765,25043,46865,2.3582379817219776e-06
11599,14878,24670,48853,2.3449458710657897e-06
10928,14065,24127,50880,2.196011212264335e-06
10349,13220,23613,52818,2.20975540966232e-06
9809,12437,23044,54710,2.2208596623914616e-06
9307,11648,22452,56593,2.330581065448249e-06
8820,10987,21748,58445,2.1165967459879544e-06
8414,10276,21193,60117,2.0469060924684947e-06
8049,9582,20516,61853,2.155834313814046e-06
7693,9006,19779,63522,1.899318418741575e-06
7404,8383,19117,65096,1.935817504351421e-06
7130,7798,18457,66615,2.036498769248048e-06
6862,7260,17801,68077,1.956603324185544e-06
6623,6739,17176,69462,1.6174878851915535e-06
6439,6215,16531,70815,1.9165167375936005e-06
6235,5820,15844,72101,2.0751646921558976e-06
6030,5474,15150,73346,1.784258027792829e-06
5867,5117,14467,74549,1.6729916551058427e-06
5725,4749,13809,75717,1.783533996719436e-06
5584,4443,13125,76848,1.623686723973257e-06
5465,4090,12557,77888,1.4134995472794104e-06
5368,3794,11927,78911,1.6712447318305083e-06
5261,3555,11321,79863,1.678985354227545e-06
5161,3298,10822,80719,1.8620526244002445e-06
5057,3062,10307,81574,1.4772891069555204e-06
4980,2819,9822,82379,1.3697633130771916e-06
4913,2619,9295,83173,1.2481842477615075e-06
4856,2431,8797,83916,1.615235387082499e-06
4787,2279,8324,84610,1.2297039866601712e-06
4738,2089,7858,85315,1.530973857305286e-06
4681,1918,7466,85935,1.8598877325982752e-06
4616,1766,7050,86568,1.136964244010964e-06
4579,1619,6687,87115,1.4696385894173676e-06
4534,1478,6321,87667,1.535272144782863e-06
4490,1380,5996,88134,1.1514729195855886e-06
4459,1274,5626,88641,1.3951819345146243e-06
4424,1172,5338,89066,1.2703622124492786e-06
4394,1069,5025,89512,1.449285208006395e-06
